stop_name,Summter Str. (Berlin),Mirower Str. (Berlin),Wilhelm-Blos-Str. (Berlin),Hultschiner Damm/Seestr. (Berlin),Kohlisstr. (Berlin),Mechthildstr. (Berlin),Wielandstr. (Berlin),Sadowastr. (Berlin),Eichenstr. (Berlin),Chemnitzer Str./Jägerstr. (Berlin),An der Wuhle (Berlin),Elsenallee (Berlin),Gleiwitzer Str. (Berlin),Dohlengrund (Berlin),Aurorafalterweg (Berlin),U Elsterwerdaer Platz (Berlin),Weißenhöher Str. (Berlin),Oberfeldstr. (Berlin),Lötschbergstr. (Berlin),Märkische Allee/Alt-Friedrichsfelde (Berlin),Alt-Friedrichsfelde/Gensinger Str. (Berlin),Alt-Friedrichsfelde 60 (Berlin),"Berlin, Alt-Friedrichsfelde/Rhinstr.",Robert-Uhrig-Str. (Berlin),Löwenberger Str. (Berlin),S+U Lichtenberg Bhf (Berlin),Irenenstr. (Berlin),Einbecker Str./Rosenfelder Str. (Berlin),Schlosspark Biesdorf (Berlin),Altentreptower Str. (Berlin),Rapsweg/Unfallkrankenhaus (Berlin),Buckower Ring (Berlin),"Berlin, Cecilienstr./Blumberger Damm",Blumberger Damm/Elisabethstr. (Berlin),Elisabethstr./Oberfeldstr. (Berlin),Heliosstr. (Berlin),Adersleber Weg (Berlin),Alt-Marzahn (Berlin),Jan-Petersen-Str. (Berlin),Paul-Dessau-Str. (Berlin),S Raoul-Wallenberg-Str. (Berlin),Walter-Felsenstein-Str. (Berlin),Märkische Allee/Wuhletalstr. (Berlin),Köthener Str. (Berlin),Otto-Rosenberg-Str. (Berlin),Boxberger Str. (Berlin),Klettwitzer Str. (Berlin),Zu den Krugwiesen (Berlin),Seehausener Str. (Berlin),Vincent-van-Gogh-Str. (Berlin),Prendener Str. (Berlin),S Hohenschönhausen Bhf (Berlin),Kaulsdorfer Str./S Köpenick (Berlin),S Köpenick (Berlin),Mittelheide (Berlin),Filehner Str. (Berlin),Semliner Straße (Berlin),Kleinschewskystr. (Berlin),Hoppendorfer Str. (Berlin),Feuersteiner Str. (Berlin),Deutschhofer Allee (Berlin),Heerstr./Chemnitzer Str. (Berlin),Lammersdorfer Weg (Berlin)
Summter Str. (Berlin),0,1,2,3,3,4,4,5,6,7,8,9,9,10,11,11,13,13,14,15,17,17,18,21,20,21,21,21,13,16,14,16,17,18,19,20,20,21,22,23,24,25,26,27,26,27,28,29,30,31,32,31,9,8,7,7,7,7,8,9,8,7,8
Mirower Str. (Berlin),1,0,1,2,3,3,4,5,5,6,7,9,9,9,10,11,13,13,14,14,16,17,17,20,19,21,21,21,12,15,14,16,16,18,18,20,19,20,21,22,23,24,25,26,25,26,27,28,29,30,31,31,8,7,6,7,7,7,8,8,7,6,7
Wilhelm-Blos-Str. (Berlin),2,1,0,1,2,2,3,4,4,6,7,8,8,8,9,10,12,12,13,14,15,16,17,20,18,20,20,20,12,14,13,15,15,17,17,19,18,20,20,21,22,23,24,26,25,25,27,28,28,29,30,30,7,6,5,6,6,6,7,7,6,5,6
Hultschiner Damm/Seestr. (Berlin),3,2,1,0,1,2,3,3,4,5,6,7,8,8,9,10,12,12,13,13,15,16,16,19,18,20,20,20,12,14,13,15,15,17,17,19,18,19,20,21,22,23,24,25,24,25,26,28,28,29,30,30,7,6,5,5,5,5,6,7,6,5,6
Kohlisstr. (Berlin),1,3,2,1,0,2,3,3,4,5,6,8,8,9,10,10,12,12,13,14,16,16,17,20,19,20,20,20,12,15,13,15,16,17,18,19,19,20,21,22,23,24,25,26,25,26,27,28,29,30,31,30,6,5,4,5,5,5,6,6,6,6,7
Mechthildstr. (Berlin),4,3,2,2,2,0,1,2,3,4,5,6,7,7,8,9,11,11,12,13,14,15,16,18,17,19,19,19,11,13,12,14,14,16,16,18,17,19,19,20,21,22,23,25,24,24,26,27,27,28,29,29,7,7,5,6,6,6,6,6,5,4,5
Wielandstr. (Berlin),4,4,3,3,3,1,0,1,2,3,4,6,6,7,8,8,10,10,11,12,14,14,15,18,17,18,18,18,10,13,11,13,14,15,16,17,17,18,19,20,21,22,23,24,23,24,25,26,27,28,29,28,8,7,6,7,7,6,5,5,4,3,5
Sadowastr. (Berlin),5,5,4,3,3,2,1,0,1,3,4,5,5,6,7,8,9,10,10,11,13,13,14,17,16,17,18,18,9,12,11,12,13,14,15,16,16,17,18,19,20,21,22,23,22,23,24,25,26,27,28,27,8,8,7,7,7,6,5,4,4,3,4
Eichenstr. (Berlin),6,5,4,4,4,3,2,1,0,2,3,4,5,5,6,7,9,9,10,10,12,13,13,16,15,16,17,17,8,11,10,12,12,14,14,16,15,16,17,18,19,20,21,22,21,22,23,24,25,26,27,27,8,8,8,7,6,5,5,4,3,2,3
Chemnitzer Str./Jägerstr. (Berlin),7,6,6,5,5,4,3,3,2,0,2,3,4,5,6,6,8,8,9,10,12,12,13,16,15,16,16,16,8,11,9,11,12,13,14,15,15,16,16,18,18,19,21,22,21,22,23,24,24,25,27,26,7,7,7,6,5,4,3,3,2,1,2
An der Wuhle (Berlin),8,7,7,6,6,5,4,4,3,2,0,2,3,4,5,6,7,7,8,9,11,11,12,15,14,15,16,16,7,10,9,10,11,12,13,14,14,15,16,17,18,19,20,21,20,21,22,23,24,25,26,25,7,7,7,6,5,4,4,3,2,3,2
Elsenallee (Berlin),9,9,8,7,8,6,6,5,4,3,2,0,2,3,4,4,6,6,7,8,10,10,11,14,13,14,14,14,6,9,7,9,10,11,12,13,13,14,15,16,17,18,19,20,19,20,21,22,23,24,25,24,8,8,8,7,7,5,5,4,3,4,3
Gleiwitzer Str. (Berlin),9,9,8,8,8,7,6,5,5,4,3,2,0,1,2,3,4,5,6,6,8,9,9,12,11,12,13,13,4,7,6,8,8,9,10,12,11,12,13,14,15,16,17,18,17,18,19,20,21,22,23,23,9,10,9,9,8,7,6,6,5,3,2
Dohlengrund (Berlin),10,9,8,8,9,7,7,6,5,4,4,3,1,0,1,2,4,4,5,6,8,8,9,12,11,12,12,12,4,7,5,7,7,9,9,11,10,12,12,14,14,15,16,18,17,17,19,20,20,21,22,22,10,11,10,9,9,8,7,6,6,4,3
